route_index,t_rail,t_truck,c_rail,c_truck,P_actual
0,1.2486371268450498,1.38963471382067,1.320115159241547,1.246687860517386,0.4280943709857491
1,1.67746137404327,1.2883709730311514,1.2049169481742972,0.922389934351503,0.11659561455269268
2,1.5632934759582915,1.5842353295647114,1.1979490510551767,2.699266389783535,0.896410195596378
3,1.5146352738866988,1.4878692467013843,1.231176939972807,1.1899172974368246,0.29290079771606775
4,1.3711919979539737,1.9554913571193464,1.3628252892064123,1.2905664260026668,0.6514877417297638
5,2.1405251532248464,1.6401852667459755,1.6182965853757811,1.8979393215518716,0.23788293033760077
6,2.292796730712577,1.6838729890519262,1.1930982857977084,1.4506326057735084,0.14334080382224298
7,2.302247177085407,1.3814941416553423,1.662379035492692,1.669769006801883,0.04428902733593114
8,1.5520833780477705,1.1914959671983498,1.1441595845729715,1.2667356761717117,0.21729854562006565
9,2.105379062668116,1.1303467687139042,1.153985274722244,1.5241470477665384,0.05419954119064609
10,1.841531214322204,1.7135878331044847,1.2799004567520607,1.4244057836793844,0.43105767450483806
11,1.4386367562221094,1.1484271801083092,0.9922111813141198,2.503878903200226,0.7898210609488552
12,1.5916476986654724,2.0829404120870896,1.286938350483525,1.4356489616110153,0.7416301185104976
13,1.762537763889891,1.1893008072661246,1.4465105116133858,1.690950064951296,0.15745079015244048
14,2.0006798309768774,1.2087790758969683,1.0568593084921103,1.9648893038335988,0.30186768063985175
15,1.9478843245867221,1.5164132170785853,1.3594091176335354,1.2231291751456346,0.11055869828934933
16,1.5373627304743125,1.1805958334251931,0.7287658531147205,2.4843201164083712,0.6327388841596682
17,1.8473211285025137,1.9519106959050072,1.3532219742997373,2.2930762098006277,0.7900527504820063
18,1.8289031117366978,1.7450239429167602,1.3120292264842932,2.4916839998650686,0.7062350667688374
19,2.3705135443998637,1.4805687052787821,1.4525164365584842,2.375657242013733,0.11604747755836711
20,2.300105317916235,2.1591104728284485,1.3042309764669557,1.3848593585638491,0.1559705421289893
21,1.7022216754891482,1.7753159415169923,1.1480215544738903,1.679269184769432,0.6787495547936312
22,1.8427272263673031,1.328107965730612,1.242393909107833,1.79687329913824,0.18959895667669016
23,1.9063219980668338,1.408636689470604,1.18383063028465,1.4733710960760333,0.16130399780417562
24,1.690249103104296,1.218973208864293,1.108029506191991,1.3031000727497468,0.1780348720773907
25,2.0353395501889158,1.1442682308831724,0.7110213431312133,0.9586839885615747,0.02202915659072468
26,1.3851649004014366,1.443618020114259,1.0873082954537185,1.922728129919805,0.7914902964886814
27,2.2178287292884353,1.0531821012854967,1.3553900159926635,1.630296203103618,0.028120376564912022
28,1.9304241974761578,1.4195650694549564,1.3312469442555523,1.5284834219781807,0.23036187905573566
29,1.3238416968812479,1.6517749207730976,0.9084602891633351,1.3388549406281047,0.6016171589735255
30,1.7033398518940188,1.5118081302950637,1.051882154172423,0.8937100415758046,0.15749588857189023
31,1.5475004446276557,1.219920299493571,1.1485712587175052,2.413310530412971,0.7050284889679324
32,2.261296876514797,1.2586814991382616,1.1312850650175061,1.8814839516904687,0.07317383717528694
33,1.9854236997387749,1.8071075533633554,1.2731137995305735,1.995114754841126,0.49057931404348126
34,1.4196173422937035,1.7107534029187461,1.2361628158635953,1.5881715441369875,0.7752195363243898
35,1.5897438187113213,1.6562136218974262,1.5683829880330815,1.9162511203847752,0.48712810527894623
36,1.987708693439712,2.297566072463725,1.2335938599930867,1.0642519035423559,0.6160881446992232
37,2.3474107702894407,1.4193075991699624,1.6033331053835165,1.451743849798096,0.03178590601803808
38,2.1203585862789707,1.3691716405481444,1.2689196814340236,0.7996410862858013,0.023625970685401138
39,1.8180605371843002,1.483348552653119,1.0882458165021305,2.9337124059350863,0.7487168875291395
40,2.3719340481258326,1.2020375011415412,1.112670420171643,1.2422638318766266,0.02231215793568041
41,2.2836078912661626,1.529920323379483,1.3841072876584464,1.127823670063527,0.04589214314161572
42,1.5753398544596517,1.9542906057140312,0.7924468636797115,2.1849350018431126,0.9498508536488509
43,1.6952729755087301,1.6782432250042256,1.214999498282539,1.890688503311139,0.6918474923176262
44,1.9948588467127606,1.5131269505620921,1.1158933150538999,0.7425386749925291,0.08015437259641717
45,1.6201985691726606,1.9579978138866199,1.2584473647537027,2.132431547380694,0.7527565233279232
46,0.9966772848630595,1.6000160248189164,1.1015986529415631,2.119917963494875,0.9477971446113893
